,Unnamed: 0,Dimension 1,Dimension 2,GMM Cluster,Song
183,183,-45.58198,55.31977,5,mfcc_min_output_70
184,184,-57.085533,48.946854,5,mfcc_mean_output_70
185,185,-70.11007,10.157061,1,mfcc_mean_output_64
186,186,-67.79434,158.0505,2,mfcc_mean_output9
187,187,-70.11007,10.157061,1,mfcc_min_output_64
188,188,-83.65908,-27.264137,1,mfcc_mean_output_58
189,189,-83.65908,-27.264137,1,mfcc_min_output_58
190,190,14.411479,-67.45441,1,mfcc_mean_output_72
191,191,5.8245854,-59.260403,1,mfcc_min_output_72
192,192,34.889126,114.391304,4,mfcc_min_output_66
193,193,34.889126,114.391304,4,mfcc_mean_output_66
194,194,-30.129335,-58.40241,1,mfcc_min_output_99
195,195,2.2526088,-145.37923,3,mfcc_min_output_98
196,196,-11.553943,101.580635,4,mfcc_min_output_67
197,197,-11.553943,101.580635,4,mfcc_mean_output_67
198,198,-76.044426,29.2847,5,mfcc_mean_output_73
199,199,-76.044426,29.2847,5,mfcc_min_output_73
