,Dimension 1,Dimension 2,Song
170,-41.97954,-20.384615,mfcc_mean_output_49
171,-41.97954,-20.384615,mfcc_min_output_49
172,38.43704,-131.14243,mfcc_mean_output_75
173,47.696835,-121.977905,mfcc_min_output_75
174,46.621845,-154.32068,mfcc_min_output_61
175,46.621845,-154.32068,mfcc_mean_output_61
176,-96.05176,155.4237,mfcc_mean_output_59
177,-96.05176,155.4237,mfcc_min_output_59
178,-67.74813,-10.661606,mfcc_mean_output_65
179,-67.74813,-10.661606,mfcc_min_output_65
180,152.86449,0.36344707,mfcc_mean_output8
181,-37.673042,108.171,mfcc_min_output_71
182,-47.813053,102.51475,mfcc_mean_output_71
183,-45.58198,55.31977,mfcc_min_output_70
184,-57.085533,48.946854,mfcc_mean_output_70
185,-70.11007,10.157061,mfcc_mean_output_64
186,-67.79434,158.0505,mfcc_mean_output9
187,-70.11007,10.157061,mfcc_min_output_64
188,-83.65908,-27.264137,mfcc_mean_output_58
189,-83.65908,-27.264137,mfcc_min_output_58
190,14.411479,-67.45441,mfcc_mean_output_72
191,5.8245854,-59.260403,mfcc_min_output_72
192,34.889126,114.391304,mfcc_min_output_66
193,34.889126,114.391304,mfcc_mean_output_66
194,-30.129335,-58.40241,mfcc_min_output_99
195,2.2526088,-145.37923,mfcc_min_output_98
196,-11.553943,101.580635,mfcc_min_output_67
197,-11.553943,101.580635,mfcc_mean_output_67
198,-76.044426,29.2847,mfcc_mean_output_73
199,-76.044426,29.2847,mfcc_min_output_73
